id,img,提供,名前,ニックネーム,誕生日,星座,血液型,性格,趣味,マイブーム,好きな言葉,好きな食べ物,好きな音楽,好きな本,鯖江の好きなところ,ひとこと
https://www.tamu3.jp/,img/tamura_prof.jpg,OCサミット実行委員会,田村康夫,やっちゃん,1960-05-30,ふたご座,O,明るく、行動的,ゴルフ、ダイビング、カラオケ,DIY、自転車,焦らず奢らず,焼き肉、煮物,演歌、フォーク,東野圭吾,西山公園,鯖江に生まれ鯖江に育てられ即戦力で鯖江に恩返し
https://mitsuru-yamagishi.com/,img/yamagishi_prof.jpg,OCサミット実行委員会,山岸みつる,やまちゃん,1990-03-03,うお座,おおらかなO,前向き選手権世界ベスト5※たぶん,勉強、ポケモン,時を忘れて夢を語ること。,全員主役。,からあげ,藍坊主,おしょりん、ヒロアカ,僕を受け入れてくれるところ,僕はいつも鯖江にいます。みんなの夢と未来の鯖江のために山岸みつるを使いたおしてください！！
https://www.sasaki-katsuhisa.com/,img/sasaki_prof.jpg,OCサミット実行委員会,佐々木勝久,かっちゃん,1968-02-22,うお座,O型,温厚,音楽鑑賞、バレーボール,庭木の手入れ,感謝、笑顔、愛,カレーライス,松山千春,自叙伝,人、ものづくり、自然,笑顔あふれる「さばえ」を皆でつくりましょう！！
